Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
myexcel,com.github.liaochong.myexcel.core,HSSFMergeReadHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,HSSFMetaDataSaxReadHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,HSSFSaxReadHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,HtmlToExcelStreamFactoryContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,HtmlToExcelStreamFactoryContext,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: trWaitQueue; executorService; capacity; pathConsumer; fixedTitles; styleParser; startSheetConsumer; freezePane
myexcel,com.github.liaochong.myexcel.core,ListSupplier,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,MyExcelConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,PromptContainer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: title; text
myexcel,com.github.liaochong.myexcel.core,PromptContainer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,PromptContainer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: title; text
myexcel,com.github.liaochong.myexcel.core,ReadContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,ReadOnlySharedStringsTable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,RowContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,SaxExcelReader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_SHEET_INDEX; log; workbookMetaData; result; readConfig; dataType; sheetNames; sheetIndexs; consumer; contextConsumer; function; contextFunction; rowFilter; beanFilter; exceptionFunction; csvCharset; csvDelimiter; trim; readAllSheet; ignoreBlankRow; stopReadingOnBlankRow; detectedMerge; startSheetConsumer
myexcel,com.github.liaochong.myexcel.core,SaxExcelReader,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
myexcel,com.github.liaochong.myexcel.core,ReadConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,ReadConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: dataType; sheetNames; sheetIndexs; consumer; contextConsumer; function; contextFunction; rowFilter; beanFilter; exceptionFunction; csvCharset; csvDelimiter; trim; readAllSheet; ignoreBlankRow; stopReadingOnBlankRow; detectedMerge; startSheetConsumer
myexcel,com.github.liaochong.myexcel.core,SheetMetaData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,SimpleStreamExcelBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,ThymeleafExcelBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,VelocityExcelBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,WorkbookMetaData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,XSSFSaxReadHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,XSSFSheetMergeXMLHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,XSSFSheetMetaDataXMLHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,SheetContentsHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,BasicTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: TEST_OUTPUT_DIR; TEST_RESOURCES_DIR
myexcel,com.github.liaochong.myexcel.core,BasicTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,BasicTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_OUTPUT_DIR; TEST_RESOURCES_DIR
myexcel,com.github.liaochong.myexcel.core,TestCustomWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.cache,StringsCache,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.cache,WeakCache,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.constant,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: XLS; XLSX; TRUE; FALSE; ONE; ZERO; HTML_SUFFIX; COMMA; QUOTES; CSV; COLON; ARROW; SPOT; LEFT_BRACKET; RIGHT_BRACKET; EQUAL; NULL_PAIR
myexcel,com.github.liaochong.myexcel.core.constant,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: XLS; XLSX; TRUE; FALSE; ONE; ZERO; HTML_SUFFIX; COMMA; QUOTES; CSV; COLON; ARROW; SPOT; LEFT_BRACKET; RIGHT_BRACKET; EQUAL; NULL_PAIR
myexcel,com.github.liaochong.myexcel.core.constant,CsvConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter,ConvertContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter,ConvertContext,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: configuration; excelColumnMappingMap; converterType; isConvertCsv
myexcel,com.github.liaochong.myexcel.core.converter,CustomWriteContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter,DefaultCustomWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter,ReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter,WriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,AbstractReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,BigDecimalReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,BoolReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,DateReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,LocalDateReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,LocalDateTimeReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,LocalTimeReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,NumberReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,StringReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.reader,TimestampReadConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,BigDecimalWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,CustomWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,DateTimeWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,DropDownListWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,ImageWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,LinkWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,LocalTimeWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,MappingWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,MultiWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,MultiWriteConverter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: writeConverterContainer
myexcel,com.github.liaochong.myexcel.core.converter.writer,OriginalWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.converter.writer,StringWriteConverter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Comment,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: text; author
myexcel,com.github.liaochong.myexcel.core.parser,Comment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Comment,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: text; author
myexcel,com.github.liaochong.myexcel.core.parser,Font,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: startIndex; endIndex; style
myexcel,com.github.liaochong.myexcel.core.parser,Font,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Font,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: startIndex; endIndex; style
myexcel,com.github.liaochong.myexcel.core.parser,ParseConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Slant,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Slant,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: lineWidth; lineStyle; lineStyleColor
myexcel,com.github.liaochong.myexcel.core.parser,StyleParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Table,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: caption; trList
myexcel,com.github.liaochong.myexcel.core.parser,Table,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Table,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: caption; trList
myexcel,com.github.liaochong.myexcel.core.parser,Td,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Td,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: row; col; rowSpan; colSpan; content; tdContentType; th; style; formula; link; file; format; date; localDate; localDateTime; fonts; promptContainer; slant; comment
myexcel,com.github.liaochong.myexcel.core.parser,Tr,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.parser,Tr,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: index; tdList; colWidthMap; visibility; height; fromTemplate
myexcel,com.github.liaochong.myexcel.core.style,BackgroundStyle,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BACKGROUND_COLOR; log
myexcel,com.github.liaochong.myexcel.core.style,BorderStyle,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: setBorder
myexcel,com.github.liaochong.myexcel.core.style,BorderStyle,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BORDER_STYLE; BORDER_LEFT_STYLE; BORDER_RIGHT_STYLE; BORDER_TOP_STYLE; BORDER_BOTTOM_STYLE; BORDER_PATTERN; borderStyleMap
myexcel,com.github.liaochong.myexcel.core.style,CustomColor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.style,DefaultCellStyle,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.style,FontStyle,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: FONT_COLOR; FONT_SIZE; FONT_WEIGHT; FONT_FAMILY; FONT_STYLE; TEXT_DECORATION; ITALIC; LINE_THROUGH; UNDERLINE; BOLD; DEFAULT_FONT_SIZE
myexcel,com.github.liaochong.myexcel.core.style,LinkDefaultCellStyle,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.style,TdDefaultCellStyle,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.style,TextAlignStyle,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEXT_ALIGN; VERTICAL_ALIGN; MIDDLE; horizontalAlignmentMap; verticalAlignmentMap
myexcel,com.github.liaochong.myexcel.core.style,ThDefaultCellStyle,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core.style,WordBreakStyle,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: WORD_BREAK; BREAK_ALL
myexcel,com.github.liaochong.myexcel.core.templatehandler,AbstractTemplateHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
